display  D   display_settings.c:357  _al_score_display_settings       [   0.08280] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.08282] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08283] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08284] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08286] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08287] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08288] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08289] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08291] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08292] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08293] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08295] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08296] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08297] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08298] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08300] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08301] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08302] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08304] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08305] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08306] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08307] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08309] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08310] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08311] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08313] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08314] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08315] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08316] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08318] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08319] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08320] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08322] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08323] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08324] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08326] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08327] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08328] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.08329] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.08331] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.08332] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.08333] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.08335] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.08336] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.08337] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.08339] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.08340] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08341] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08342] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08344] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08345] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08346] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08348] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08349] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08350] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08352] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08353] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08354] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08356] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08357] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08359] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08361] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08363] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08364] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08365] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08367] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08368] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08369] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08371] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08372] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08373] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08375] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08376] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08377] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08380] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08382] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08383] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08385] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08386] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08387] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08389] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08390] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08391] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08393] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08394] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08395] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08397] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08398] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08399] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08400] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08402] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.08403] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08404] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08406] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08407] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08408] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08410] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08411] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08412] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08413] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08415] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08416] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08417] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08419] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08420] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08421] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08422] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08424] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08425] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08426] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08428] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08429] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08430] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08432] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08433] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08434] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08436] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08437] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08438] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08439] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08441] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08442] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08443] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08445] Score is : 737
